,network_score,model_score,moded_network_score,diff,network_model_score
YLR025W,0.8073894880978343,0.4655709683388133,0.5902836613429243,-0.341818519759021,0.8130793067341415
YKL019W,0.8936463299680433,0.5516710176450917,-0.036876680075538015,-0.34197531232295153,0.9265372774516897
YIL090W,0.8568458907849199,0.5146086597764773,0.0690083087780029,-0.3422372310084426,0.8596304261915625
YPL222W,0.744396730008068,0.4020174318595413,0.3361770016639738,-0.34237929814852675,0.7702202070470253
YBR149W,0.7211963251935247,0.3787120323825476,0.12048669784035737,-0.34248429281097714,0.6830063634063481
YFR036W,0.8503378631437462,0.5072930513908434,0.295309025997869,-0.3430448117529028,0.8242172211814982
YFL050C,0.8650408419095839,0.5216358940814474,0.578536616317362,-0.34340494782813646,0.8470446890430656
YOL084W,0.6294121015133004,0.2858565085964885,-0.5701476221366806,-0.3435555929168119,0.701980265664987
YNL149C,0.424658404905334,0.08080009095179963,-0.21356814940336277,-0.3438583139535344,0.6264664411064184
YBR132C,0.8081769996424994,0.46413327039408503,0.3025165815301395,-0.3440437292484144,0.7153959432470398
YDR292C,0.5191332312870629,0.17484182622662503,0.18679899668937106,-0.34429140506043787,0.6724031754439397
YMR242C,0.5657933782304512,0.22146124294953629,0.3258770899328336,-0.3443321352809149,0.6903685997249656
YPL188W,0.8808776413743823,0.5365337059642368,0.5461622488293846,-0.3443439354101455,0.8670846570343902
YKR002W,0.9491505902501421,0.6040636927182659,0.12329905134475061,-0.34508689753187627,0.9530776782059616
YGR231C,0.9412455811467285,0.5954534189341196,0.8208321315662389,-0.3457921622126089,0.9119645915313273
YGR019W,0.8264217030267362,0.480202586991632,0.28491794568802464,-0.34621911603510425,0.7861979100554054
YDR227W,0.8199106825458381,0.47324402527644116,-0.07707027427042434,-0.34666665726939694,0.8759261548494139
YLL039C,0.8859771009780957,0.5391692163761623,-0.10047692718931467,-0.34680788460193335,0.8484478241586249
YHR082C,0.8902349771479648,0.5432990902148418,0.3964452179470689,-0.34693588693312305,0.8676029615600238
YAL021C,0.9657185035560715,0.6181599679415805,-0.764940963329467,-0.347558535614491,0.9466056376827161
YIL109C,0.8611562053706165,0.5128789020648383,-0.2816709675291058,-0.3482773033057782,0.8702477482459992
YGR279C,0.7602839216856085,0.4114853991444648,-0.1502419055700146,-0.34879852254114374,0.7752173332534373
YJL061W,0.47588134178670893,0.12619346708047519,-0.10803778289745658,-0.34968787470623375,0.4027983411242462
YFL056C,0.5704446175182449,0.22042372439344726,-0.05031799203871623,-0.35002089312479767,0.5838875289099899
YER145C,0.8256515179224482,0.47554987976072416,-0.4468451892302947,-0.350101638161724,0.8362410330345109
YKR076W,0.5873404913202496,0.23683458742137187,-0.6411165500782512,-0.3505059038988777,0.5698421229318751
YDL019C,0.950911956334793,0.5996911263158804,0.6234185090026712,-0.3512208300189126,0.9608399889797746
YIL037C,0.6834876059373161,0.33218443821174903,0.8047931342226972,-0.351303167725567,0.7239320350810481
YMR275C,0.9692505359254349,0.6178716995256794,0.8886478475894359,-0.3513788363997554,0.9639954049585097
YNL070W,0.9766692427217118,0.6252207388362024,0.7914120404988337,-0.3514485038855094,0.9918777687160086
YDR032C,0.5731332723337687,0.2213648853163407,-5.71041530115577,-0.35176838701742796,0.4527593794339452
YLL063C,0.779313955872692,0.42720808041057656,0.7346649172177957,-0.35210587546211547,0.7910427222330421
YHR006W,0.9309535042106887,0.57874331547021,0.6121464891259878,-0.3522101887404787,0.9367600193887375
YOL064C,0.9349454335364631,0.5818619805093034,0.7003322036089847,-0.3530834530271597,0.9772234196135174
YMR296C,0.9431280932246533,0.590029131876572,0.7134160641518386,-0.3530989613480813,0.9653596982236664
YJR016C,0.6596030401791154,0.3052842681920924,-0.24063536134558983,-0.354318771987023,0.6685435891860818
YPR184W,0.7433927371091842,0.38886685914844077,-0.5660857059739304,-0.3545258779607434,0.6090193464452489
YFL011W,0.7876199809280725,0.4329295051668469,0.3068902584121148,-0.3546904757612256,0.7191275560363133
YMR297W,0.8763274207121488,0.5213032567423447,0.6902294450966966,-0.3550241639698041,0.8778609238747765
YJL110C,0.886840639085515,0.5313499429179968,0.7563806028887308,-0.35549069616751827,0.8500350459239334
YHR155W,0.9312002864796257,0.5755923100755345,0.5954932799721391,-0.35560797640409125,0.9457479453361446
YMR277W,0.7713242621901272,0.4155339900967301,0.8530533379829998,-0.3557902720933971,0.7781733055937952
YGL031C,0.633452717027617,0.277405828000581,-0.24260167477391326,-0.35604688902703596,0.46723133288113805
YCL026C-B,0.8122164679914107,0.4556034941859588,0.7252588662674724,-0.35661297380545187,0.818185616304054
