,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YPL243W,0.5345085542039374,-0.2249741677039192,0.0465463205417323,-0.7594827219078566,0.5926646522139799,0.07971498455092303
YDR524C,0.8872065602380287,0.1269242545841883,-0.0370164089855054,-0.7602823056538404,0.8874768470733965,-1.0547161672172125
YCL032W,0.7850126713952675,0.0247143204429171,0.2624557888639752,-0.7602983509523504,0.833100595322442,-5.366103823727726
YFR002W,0.5216533713762048,-0.2391861170685529,0.6210102604072046,-0.7608394884447578,0.737651788543431,0.11413131483283742
YPR024W,0.9519901373629294,0.1899362648340369,0.8902251238195488,-0.7620538725288925,0.9518708674172393,0.0892154970474831
YDL132W,0.9429092885647596,0.1801662758321266,0.9186969533493792,-0.7627430127326329,0.9306804423154276,-16.12747111623034
YAL025C,-1.5417050397113146,-2.306726340048535,-8.384864740560353,-0.7650213003372204,-0.1212230189398235,0.09533589149382724
YLR312W-A,0.5141975462263602,-0.2508382478527529,-1.366752859723308,-0.765035794079113,0.5215589425528215,0.2526948178599964
YDL219W,-0.1511099701208069,-0.9166303584548308,-1.436805087856908,-0.7655203883340238,0.3009141208808205,0.23326329793261155
YGL049C,0.8813734762023231,0.1156171348051749,0.4837955795839636,-0.7657563413971481,0.8770791219757261,0.04832272088450531
YHR072W,0.8555071718868983,0.088200289739215,0.741853817619369,-0.7673068821476833,0.8229663446215817,-1.0773426688852332
YKL138C-A,0.8807735465923912,0.1124040435085038,0.8188726244431107,-0.7683695030838873,0.8844102740111424,-0.7535409151330595
YPL258C,0.830199577009381,0.0611321633691557,0.8900130885274816,-0.7690674136402252,0.807013430496709,-0.4256930211768202
YGL105W,0.7601359646577714,-0.0089851485453509,0.5972737134100413,-0.7691211132031224,0.6794734164486991,0.050243676087526626
YMR256C,0.6733271780310071,-0.0959215379696944,0.2649751013028573,-0.7692487160007015,0.8034083597449385,-0.05808864522472936
YMR260C,0.4632491243231942,-0.306682012466406,-1.1046511042735516,-0.7699311367896002,0.3605225275148416,-0.13840012524856485
YLR008C,0.0726274244350057,-0.6977424067871381,-1.7645907303074724,-0.7703698312221438,0.0991590596872414,0.3261379021300291
